created_at,text
2022-12-09 19:22:35,"Wahlkampf-Auftakt im @Festsaal: 
Wir #BerlinerLinke jammern nicht, sondern kümmern uns um #dasWesentliche.
Wir woll… https://t.co/aiOxPWUt7d"
2022-12-09 18:27:13,"RT @dielinkeberlin: Unser Spitzenkandidat am Podium! @klauslederer ist froh, dass es ""Alternativen zu zynischen Spartipps wie weniger Dusch…"
2022-12-09 18:26:16,"RT @dielinkeberlin: Ein kämpferisches Versprechen für ein soziales, ein solidarisches, ein warmes Berlin einlösen! - #AGHW23 #BerlinerLinke…"
2022-12-09 09:44:18,"Ich bin beeindruckt von der Rede der @zdkonline-Präsidentin Irme Stetter-Karp, nachdem ich die Mitglieder des… https://t.co/zNtFemuAYv"
2022-12-08 15:20:54,"Wow! Sechs Jahre ist es jetzt schon her, dass ich zum Senator für #Kultur und #Europa ernannt worden bin. Mit viele… https://t.co/I3aALXVNtp"
2022-12-08 14:02:48,RT @dielinkeberlin: Auf geht's! ✊ Morgen 18 Uhr stimmen wir uns im Festsaal Kreuzberg offiziell in den Wahlkampf ein. Mit Reden von @klausl…
2022-12-08 11:07:37,Die #GraffitiLobby organisiert im Park am Nordbahnhof auf geduldeten Flächen regelmäßig thematische Jams mit Künstl… https://t.co/aq8lgo6n8z
2022-12-07 16:46:09,"Und wir sind fest entschlossen, das nach dem 12. Februar 2023 weiterhin zu tun. Großes Dankeschön an DIE LINKE. Tre… https://t.co/jC7Y1mpsOw"
2022-12-07 16:46:06,"gibt es @dieLinke.
In #Berlin kümmern wir uns um das Wesentliche, zeigen, dass es auch anders geht. 
@katjakipping,… https://t.co/dfk4KjUmsH"
2022-12-07 16:46:04,“Wir lassen niemanden zurück” hieß es vom Kanzler vor einem halben Jahr. Damit es nicht bei Duschtipps &amp; Ratschläge… https://t.co/5qkaRclpbt
2022-12-07 13:00:28,"Mehr Informationen gibt es hier, ihr könnt aber auch einfach telefonisch bestellen:
https://t.co/PKBHJIqL58… https://t.co/GHttP1ipUK"
2022-12-07 13:00:26,"und zwar bis zum 9.12. Das Kollektiv „Literatur für das, was passiert“ verfasst  individuelle Wunschtexte und nimmt… https://t.co/En3MWkF3Wo"
2022-12-07 13:00:24,"Ihr sucht noch ein passendes Weihnachtsgeschenk? Wie wäre es mit einem passgenauen Horoskop, Monolog, Gedicht, eine… https://t.co/ZyID4s245s"
2022-12-07 09:05:54,"Wenn der Begriff Terrorismus, der in jüngster Zeit etwas zu inflationär gebraucht wird, tatsächlich zutreffend ist,… https://t.co/yxJSVhRHln"
2022-12-06 12:14:15,"die Regulation gegen Spekulation mit öffentlichen Grundbedürfnissen wie Energie, Wohnraum, Bildung und Gesundheit.… https://t.co/2ig0HQubUB"
2022-12-06 12:14:12,"Schmit ist ein wirklich engagierter Streiter für soz. Standards, Armutsbekämpfung &amp; Reichtumsbesteuerung. Wir sprec… https://t.co/YghnUM2lBN"
2022-12-06 12:14:09,"demokratisches und solidarisches Europa auch hier vor Ort zu streiten.
ich bin sehr froh, dass uns aus der EU_Kommi… https://t.co/mnbOJHxb6Z"
2022-12-06 12:14:07,"Der Senat von #Berlin tagt, seit ich die @SenKultEu leite, regelmäßig in #Brüssel. Das ist wichtig, denn nicht nur… https://t.co/Kv0CloYP80"
2022-12-06 10:14:37,"RT @dielinkeberlin: Die Preise für Lebensmittel &amp; Energie gehen durch die Decke. Wir sagen: Es reicht! Strom, Heizen, Lebensmittel, Bus &amp; B…"
2022-12-03 09:42:44,"Morgen ist wieder #Museumssonntag in #Berlin, das heißt: Freier Eintritt für Alle in zahllosen Berliner Museen! 🎈
W… https://t.co/Evp3c3d2SB"
2022-12-02 16:13:18,"RT @dielinkeberlin: Knast wegen Schwarzfahren?😠Jedes Jahr müssen bundesweit 60.000 Menschen ins Gefängnis, weil sie eine Geldstrafe nicht b…"
2022-12-02 12:32:35,"RT @LinksfraktionB: Für ordentliche Löhne und gegen Armut: wir nehmen da Einfluss, wo wir auf Landesebene können! Der #Vergabemindestlohn,…"
2022-12-02 10:39:13,"RT @dielinkeberlin: Die Preise für Lebensmittel &amp; Energie gehen durch die Decke. Wir sagen: Es reicht! Strom, Heizen, Lebensmittel, Bus und…"
2022-12-01 09:07:12,"Die Pandemie bedeutete einen schweren Rückschlag für die Bemühungen, den Anspruch #KulturFürAlle einzulösen. Wie ic… https://t.co/kb6Ii1W1DV"
2022-11-30 21:44:26,"an Hamid Djadda für die Sanierung der #AVUS-Tribüne. Du kannst ja über #Berlin meckern, wie du willst. Aber diese S… https://t.co/PqKyj9pUna"
2022-11-30 21:44:23,"Die Ferdinand-von-Quast-Medaille des Landesdenkmalamts bei der @SenKultEu wurde heute verliehen an: EFEU e.V., die… https://t.co/vVbHgLzcqL"
2022-11-30 21:44:21,#Denkmalschutz mag angestaubt klingen. Aber ich erlebe jetzt seit 6 Jahren live und darf meines für die Unterstützu… https://t.co/LQz2ybsSBn
2022-11-30 15:16:54,@dielinkeberlin @linke_sachsen @DIELINKELeipzig @linke_dresden @LINKEChemnitz @LINKEw_sachsen @linkevogtland… https://t.co/nLo050uhFw
2022-11-30 13:20:39,"Das #EJJ mag sich dem Ende zuneigen, aber die Belange von Jugendlichen und jungen Erwachsenen sind ungebrochen wich… https://t.co/JPYnOdv4Te"
2022-11-30 13:20:39,Meine persönliche Verbindung zum @ljrberlin reicht bis kurz nach dem Mauerfall zurück: 1990 durfte ich mit dem LJR… https://t.co/YKArjzYrn9
